item_id,item_name,en_name,category,item_type,price,total_price,des1_cn,des1_en,des2_cn,des2_en,image_url
1111,铁剑,Iron Sword,攻击,1,165,275,+20物理攻击,+20 Physical Attack,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1111.png
1112,匕首,Dagger,攻击,1,180,300,+10%攻击速度,+10%Attack Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1112.png
1113,搏击拳套,Boxing Gloves,攻击,1,180,300,+8%暴击率,+8%Critical Rate,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1113.png
1114,吸血之镰,Vampiric Scythe,攻击,1,180,300,+8%物理吸血,+8%Physical Lifesteal,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1114.png
1115,迅捷长矛,Swift Spear,攻击,1,456,760,+35物理攻击 +7.5%移动速度,+35 Physical Attack +7.5%Movement Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1115.png
1116,雷鸣刃,Thunder Blade,攻击,1,492,820,+35物理攻击 +12%暴击率,+35 Physical Attack +12%Critical Rate,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1116.png
1121,风暴巨剑,Storm Giant Sword,攻击,1,510,850,+75物理攻击,+75 Physical Attack,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1121.png
1122,日冕,Sun Crown,攻击,1,456,760,+35物理攻击 +450最大生命,+35 Physical Attack +450 Max Health,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1122.png
1123,狂暴双刃,Frenzy Dual Blades,攻击,1,456,760,+15%攻击速度 +7.5%移速,+15%Attack Speed +7.5%Movement Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1123.png
1124,陨星,Meteor,攻击,1,456,760,+35物理攻击 +7.5%冷却缩减,+35 Physical Attack +7.5%Cooldown Reduction,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1124.png
1125,破魔刀,Magic Breaker,攻击,1,1236,2060,+90物理攻击 +150法术防御 +600最大生命,+90 Physical Attack +150 Magic Defense +600 Max Health,唯一被动-破魔：获得（50%物理伤害）法术防御，最多不超过250点。,"Unique Passive - Magic Break: gain (50% Physical Damage) as Magic Defense, capped at 250.",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1125.png
1126,末世,Doomsday,攻击,1,1260,2100,+500最大生命 +40物理攻击 +20%攻击速度  +20%物理吸血,+500 Max Health +40 Physical Attack +20%Attack Speed +20%Physical Lifesteal,唯一被动-破败：普攻额外造成目标80~160（+7%目标额外最大生命）的物理伤害,Unique Passive - Ruin: Basic Attackbonusdealtarget 80~160 (+7%targetbonusMax Health) Physical Damage,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1126.png
1127,名刀·司命,Fate's Edge,攻击,1,1236,2060,+500最大生命 +75物理攻击 +15%攻击速度,+500 Max Health +75 Physical Attack +15%Attack Speed,唯一被动-暗幕：受到致命伤害时不会立刻阵亡，获得短暂无敌并增加15%移速，持续1秒，购买后每隔90/180/270秒增加0.2秒无敌并获得5%名刀·司命基础属性提升，至多3次，冷却时间：120秒,"Unique Passive - Dark Curtain: upon taking fatal damage, does not immediately die, gains brief Invincibility and +15% Movement Speed for 1 s, after purchase, every 90/180/270 s gains 0.2 s Invincibility and 5% Fate's Edge base stat boost, up to 3 times, Cooldown: 120 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1127.png
1128,寒霜袭侵,Frost Assault,攻击,1,1224,2040,+750最大生命 +25%攻击速度 +70物理攻击,+750 Max Health +25%Attack Speed +70 Physical Attack,"被动-寒霜：普攻和技能减少5~10%移速，持续1.5秒，可叠加2层。 被动-冻伤：普攻和技能对目标额外造成135~270（+0.45额外Ad）物理伤害,冷却时间3秒。","Passive - Frost: Basic Attackandabilityreduce 5~10%Movement Speed, for 1.5 s, canstack 2 stacks. Passive - Frostbite: Basic Attackandabilityagainsttargetbonusdeal 135~270 (+0.45 bonus AD) Physical Damage,Cooldown 3 s.",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1128.png
1129,速击之枪,Swiftstrike Lance,攻击,1,480,800,+35物理攻击 +15%攻击速度,+35 Physical Attack +15%Attack Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1129.png
1131,碎星锤,Star Breaker,攻击,1,1248,2080,+90物理攻击 +700最大生命 +7.5%移动速度,+90 Physical Attack +700 Max Health +7.5%Movement Speed,唯一被动-破甲：+30%物理穿透,Unique Passive - Armor Pierce: +30%Physical Penetration,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1131.png
1132,泣血之刃,Blood Weeper,攻击,1,1212,2020,+80物理攻击 +25%物理吸血 +500 最大生命,+80 Physical Attack +25%Physical Lifesteal +500 Max Health,被动-养战：增加25%物理技能吸血 被动-充溢：自身溢出回复的50%转化为最大生命值，上限400~800点,"Passive - War Nurture: +25% Physical Ability Lifesteal Passive - Overflow: 50% of excess self-healing converted to Max Health, cap 400~800",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1132.png
1133,无尽战刃,Infinity Edge,攻击,1,1266,2110,+120物理攻击 +20%暴击率,+120 Physical Attack +20%Critical Rate,唯一被动-无尽：获得20%暴击效果，每2%暴击增加1%暴击效果，最多不超过50%,"Unique Passive - Endless: gain 20% Critical Damage, every 2% Critical Rate adds 1% Critical Damage, capped at 50%",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1133.png
1134,宗师之力,Master's Power,攻击,1,1260,2100,+55物理攻击 +20%暴击率 +600最大生命 +15%攻击速度,+55 Physical Attack +20%Critical Rate +600 Max Health +15%Attack Speed,唯一被动-强击：使用技能后，2秒内提升自身12%移动速度，并使得下次普通攻击造成额外0.8*物理攻击的物理伤害，冷却时间：3秒,"Unique Passive - Power Strike: after using an ability, +12% Movement Speed for 2 s, next Basic Attack deals bonus 0.8*Physical Attack Physical Damage, Cooldown: 3 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1134.png
1135,闪电匕首,Lightning Dagger,攻击,1,1224,2040,+40物理攻击 +35%攻击速度 +7.5%移速,+40 Physical Attack +35%Attack Speed +7.5%Movement Speed,唯一被动-电弧：普攻额外造成40~80法术伤害，每3次普攻会释放一次连锁闪电，造成160~400法术伤害,"Unique Passive - Arc Lightning: Basic Attack deals bonus 40~80 Magic Damage, every 3 Basic Attacks releases Chain Lightning dealing 160~400 Magic Damage",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1135.png
1136,影刃,Shadow Blade,攻击,1,1224,2040,+45物理攻击 +35%攻击速度 +20%暴击率 +7.5%移动速度,+45 Physical Attack +35%Attack Speed +20%Critical Rate +7.5%Movement Speed,唯一被动-暴风：普攻命中后增加10%攻速(暴击后翻倍)与5%移速，持续3秒,"Unique Passive - Storm: after Basic Attack hits, +10% Attack Speed (doubled on Critical) and +5% Movement Speed for 3 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1136.png
1137,暗影战斧,Shadow Axe,攻击,1,1254,2090,+80物理攻击 +10%冷却缩减 +500最大生命,+80 Physical Attack +10%Cooldown Reduction +500 Max Health,唯一被动-切割：增加90~180点物理穿透,Unique Passive - Carve: +90~180 Physical Penetration,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1137.png
1138,强者破军,Siege Breaker,攻击,1,1524,2540,+150物理攻击 +5%冷却缩减,+150 Physical Attack +5%Cooldown Reduction,唯一被动-破军：对生命值低于50%的敌人造成额外30%的伤害,Unique Passive - Army Breaker: deal bonus 30% damage to enemies below 50% Health,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1138.png
1141,逐日之弓,Sun Bow,攻击,1,1260,2100,+40物理攻击 +20%攻击速度 +15%暴击 +7.5%移速,+40 Physical Attack +20%Attack Speed +15%Critical +7.5%Movement Speed,唯一被动-精准：近战普通攻击伤害提升25点，远程英雄使用时该效果翻倍。 唯一主动-逐日：增加自己125点普攻射程和20%移动速度，持续5秒，冷却时间：75秒（增加射程效果仅远程英雄生效）,"Unique Passive - Precision: Melee Basic Attack damage +25, effect doubled for Ranged Heroes. Unique Active - Sun Chaser: +125 Basic Attack Range and +20% Movement Speed for 5 s, Cooldown: 75 s(Range increase effective only for Ranged Heroes)",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1141.png
1154,穿云弓,Cloud Piercer,攻击,1,480,800,+12%暴击率 +15%攻击速度,+12%Critical Rate +15%Attack Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1154.png
1155,仁者破晓,Dawn,攻击,1,1542,2570,+75物理攻击 +30%攻击速度 +15%暴击率,+75 Physical Attack +30%Attack Speed +15%Critical Rate,被动-破甲：+15%物理穿透（远程英雄使用时效果翻倍） 被动-破晓：近战普通攻击伤害提升25点（远程英雄使用时效果翻倍）,Passive - Armor Pierce: +15% Physical Penetration (effect doubled for Ranged); Passive - Dawn: Melee Basic Attack damage +25 (effect doubled for Ranged),https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1155.png
1156,迅疾·日渊,Sun Abyss,攻击,1,1992,3320,+40物理攻击 +20%攻击速度 +15%暴击率 +7.5%移速,+40 Physical Attack +20%Attack Speed +15%Critical Rate +7.5%Movement Speed,被动-精准：近战普攻伤害提升25点，远程英雄使用时该效果翻倍 主动-逐日：开启后增加自己125点普攻射程和40%移速，期间普攻会向目标附近的1个目标造成30%额外伤害，持续5秒，冷却时间：75秒,"Passive-Precision: MeleeBasic AttackDamageincrease 25, effect doubled for Ranged Heroes Active - Sun Chaser: upon activation +125 Basic Attack Range and +40% Movement Speed, Basic Attacks deal 30% bonus damage to 1 nearby target for 5 s, Cooldown: 75 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1156.png
1157,不动·天穹,Immovable Sky,攻击,1,1968,3280,+80物理攻击 +10%冷却缩减 +150物理防御,+80 Physical Attack +10%Cooldown Reduction +150 Physical Defense,主动-驱散：解除所有控制，自身获得35%减伤，持续3秒，冷却时间：75秒 被动-残废：技能对首个命中的敌方英雄造成10%~20%减速，并使其对自己的伤害降低20%，持续3秒，该效果有8秒冷却时间,"Active - Dispel: dispel all CC, self gains 35% Damage Reduction for 3 s, Cooldown: 75 s Passive - Cripple: ability against first enemy Hero hit deals 10%~20% Slow, reduces their damage to self by 20% for 3 s, 8 s Cooldown",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1157.png
1158,血魂刃,Blood Soul Blade,攻击,1,480,800,+35物理攻击 +12%物理吸血,+35 Physical Attack +12%Physical Lifesteal,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1158.png
1159,逐风,Wind Chaser,攻击,1,1248,2080,+50 物理攻击 +600最大生命 +30%攻击速度,+50 Physical Attack +600 Max Health +30%Attack Speed,被动-逐风：单次技能和普攻行为命中目标，提高2%攻速、移速与伤害，持续2.5秒，最大5层，逐层掉落，持续3秒,"Passive-Wind Chase: each ability or Basic Attack action hitting target grants +2% Attack Speed, Movement Speed & Damage for 2.5 s, max 5 stacks, decays one stack at a time over 3 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1159.png
1161,幽影袖箭,Shadow Dart,攻击,1,1224,2040,+40物理 +20%攻击速度 +20%暴击率 +650最大生命,+40 Physical +20%Attack Speed +20%Critical Rate +650 Max Health,主动-无踪：立刻进入隐身状态，隐身状态每0.5秒恢复110~220+6%隐身前3秒损失的血量并获得30%加速，持续2.5秒（近战减半），释放技能或普攻会立刻退出隐身状态，冷却时间：75秒,"Active - Traceless: immediately enter Stealth, while Stealthed every 0.5 s restore 110~220+6% of Health lost within 3 s before Stealth and gain 30% Speed Boost for 2.5 s (halved for Melee), casting ability or Basic Attack immediately exits Stealth, Cooldown: 75 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1161.png
11110,附魔之羽,Enchanted Feather,攻击,1,180,300,+5%移动速度,+5%Movement Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/11110.png
11210,制裁之刃,Sanction Blade,攻击,1,1248,2080,+100物理攻击 +20%物理吸血 +20%攻击速度,+100 Physical Attack +20%Physical Lifesteal +20%Attack Speed,被动-回魂：自身生命低于30%时，5秒内累计回复375~750点生命，该效果有20秒的冷却时间 被动-重伤：普攻/技能命中敌人后降低其35%生命回复和吸血效果，持续2.5秒,"Passive - Soul Return: when self Health <30%, restores total 375~750 Health within 5 s, 20 s Cooldown Passive - Grievous Wounds: Basic Attack/abilityhitenemyafterreduceits35%Health RegenandLifestealeffect, for 2.5 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/11210.png
11211,精钢锻刀,Steel-Forged Blade,攻击,1,510,850,+15%攻击速度 +450最大生命,+15%Attack Speed +450 Max Health,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/11211.png
11311,纯净苍穹,Pure Sky,攻击,1,1284,2140,+80物理攻击 +10%冷却缩减 +150物理防御,+80 Physical Attack +10%Cooldown Reduction +150 Physical Defense,唯一主动-驱散：获得30%减伤，持续3秒，冷却时间：75秒 被动-残废：技能对首个命中的敌方英雄造成10%~20%减速，并使其对自己的伤害降低20%，持续3秒，该效果有8秒冷却时间,"Unique Active - Dispel: gain 30% Damage Reduction for 3 s, Cooldown: 75 s Passive - Cripple: ability against first enemy Hero hit deals 10%~20% Slow, reduces their damage to self by 20% for 3 s, 8 s Cooldown",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/11311.png
1211,咒术典籍,Spell Tome,法术,2,165,275,+35法术攻击,+35 Magic Attack,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1211.png
1212,蓝宝石,Sapphire,法术,2,165,275,+400最大法力,+400 Max Mana,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1212.png
1214,圣者法典,Saint's Codex,法术,2,480,800,+60法术攻击 +7.5%冷却缩减,+60 Magic Attack +7.5%Cooldown Reduction,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1214.png
1217,秘法残页,Arcane Page,法术,2,180,300,+8%法术吸血,+8%Magic Lifesteal,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1217.png
1218,元流结晶,Origin Crystal,法术,2,180,300,+5%冷却缩减,+5%Cooldown Reduction,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1218.png
1221,大棒,Large Rod,法术,2,492,820,+120法术攻击,+120 Magic Attack,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1221.png
1222,血族之书,Vampire Book,法术,2,480,800,+60法术攻击 +12%法术吸血,+60 Magic Attack +12%Magic Lifesteal,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1222.png
1224,魔道之石,Magic Stone,法术,2,480,800,+60法术攻击 +7.5移动速度,+60 Magic Attack +7.5 Movement Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1224.png
1226,圣杯,Holy Grail,法术,2,1212,2020,+150法术攻击 +15%冷却缩减 +500生命值,+150 Magic Attack +15%Cooldown Reduction +500 Health,唯一被动-法力源泉：每秒回复1.5%法力值，如果法力值已满，每秒回复1%生命值，法力未满时，每秒回复0.5%最大生命值,"Unique Passive - Mana Source: restores 1.5% Mana per second; if Mana full, restore 1% Health per second; when Mana not full, restore 0.5% Max Health per second",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1226.png
1227,炽热支配,Scorching Dominion,法术,2,1224,2040,+150法术攻击 +12%法术吸血 +7.5%移动速度,+150 Magic Attack +12%Magic Lifesteal +7.5%Movement Speed,唯一被动-法力护盾：血量低于30%时立即解除自身控制，同时获得一个吸收500~1000(+1.0Ap)(+7.5%额外生命)护盾，护盾持续期间提升30%移动速度，持续4秒，冷却时间：90秒,"Unique Passive - Mana Shield: when Health <30%, immediately dispel self CC, gain absorbing Shield of 500~1000(+1.0 AP)(+7.5% Bonus Health), +30% Movement Speed while Shield active for 4 s, Cooldown: 90 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1227.png
1231,虚无法杖,Void Staff,法术,2,1224,2040,+210法术攻击 +500最大生命值 +5%冷却缩减,+210 Magic Attack +500 Max Health +5%Cooldown Reduction,唯一被动：+45%法术穿透,Unique Passive: +45%Magic Penetration,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1231.png
1232,博学者之怒,Savant's Wrath,法术,2,1284,2140,+210法术攻击,+210 Magic Attack,唯一被动-毁灭：法术攻击提升30%,Unique Passive - Destruction: Magic Attackincrease 30%,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1232.png
1233,回响之杖,Echo Staff,法术,2,1230,2050,+220法术攻击  +7.5%移速,+220 Magic Attack +7.5%Movement Speed,唯一被动-回响：技能命中会触发小范围爆炸造成140~280（+0.28Ap）法术伤害，这个效果有5秒CD。,"Unique Passive - Echo: ability hits trigger small AoE explosion dealing 140~280(+0.28 AP) Magic Damage, 5 s CD.",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1233.png
1234,凝冰之息,Frost Breath,法术,2,1260,2100,+180法术攻击 +7.5%冷却缩减 +500最大生命,+180 Magic Attack +7.5%Cooldown Reduction +500 Max Health,被动-凝冰：英雄普攻和技能造成伤害会附带5%~10%的减速效果，最多2层，持续1.5秒 被动-冻伤：普攻和技能对目标造成75~150(0.15Ap)法术伤害，该效果有3秒冷却时间,"Passive-Freeze: HeroBasic AttackandabilitydealDamageapplies5%~10%Sloweffect, up to 2 stacks, for 1.5 s Passive - Frostbite: Basic Attackandabilityagainsttargetdeal 75~150(0.15 Ap)Magic Damage, this effect has3 sCooldown",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1234.png
1235,痛苦面具,Mask of Agony,法术,2,1248,2080,+100法术攻击 +7.5%冷却缩减 +900最大生命,+100 Magic Attack +7.5%Cooldown Reduction +900 Max Health,被动-折磨： 技能命中后，目标在3秒内受到到4次3%当前生命的法术伤害（伤害对野怪上限为200点），持续3秒。,"Passive-Torment: abilityhitafter, targetinwithin 3 sreceiveto4 times 3%CurrentHealthMagic Damage (DamageagainstJungle Monstercapas200) , for 3 s.",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1235.png
1236,巫术法杖,Spellblade Staff,法术,2,1248,2080,+180法术攻击 +600最大生命 +300最大法力 +7.5%移速,+180 Magic Attack +600 Max Health +300 Max Mana +7.5%Movement Speed,唯一被动-强击：使用技能后，5秒内下次普攻造成额外180~360(+0.4Ap)，冷却2.5秒,"Unique Passive - Power Strike: useabilityafter, within 5 sunder timesBasic Attackdealbonus 180~360(+0.4 Ap), Cooldown 2.5 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1236.png
1237,时之预言,Prophet's Hour,法术,2,1290,2150,+140法术攻击 +450最大法力 +900最大生命,+140 Magic Attack +450 Max Mana +900 Max Health,被动-英勇奖赏：英雄升级后在3秒内回复20%最大生命值与最大法力值;满级后每45秒触发一次英勇奖赏效果：3秒内回复20%最大生命与最大法力 被动-预言： 获得50~100(0.1Ap)物理防御和法术防御。,"Passive - Heroic Reward: upon level up, restore 20% Max Health & Max Mana within 3 s; at max level triggers Heroic Reward every 45 s: restore 20% Max Health & Max Mana within 3 s Passive - Prophecy: gains 50~100(0.1 AP) Physical & Magic Defense.",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1237.png
1238,贤者天书,Sage's Tome,法术,2,1686,2610,+350法术攻击 +10%冷却缩减,+350 Magic Attack +10%Cooldown Reduction,唯一被动-刻印：每增加100点法术攻击可提升0.5%增伤比例与0.5%减伤比例,Unique Passive - Imprint: every 100 Magic Attack increases Damage bonus ratio by 0.5% and Damage Reduction ratio by 0.5%,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1238.png
1239,辉月,Splendor,法术,2,1248,2080,+160法术攻击 +7.5%冷却缩减 +12%法术吸血,+160 Magic Attack +7.5%Cooldown Reduction +12%Magic Lifesteal,唯一主动-月之守护：75秒CD，免疫所有效果，不能移动、攻击和使用技能，持续1.5秒,"Unique Active - Moon Guard: 75 sCD, immune to all effects, cannot move, attack, or use abilities for 1.5 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1239.png
